;Mapa dos exames do semestre de Inverno 2014/2015;;;;;;;;;;
;;;Época Normal;;;Época de Recurso;;;Época Especial;;
;UC;Cursos;Dia;Hora;Salas;Dia;Hora;Salas;Dia;Hora;Salas
;PG3;LEETC;26 jan (seg);19:00;;21 fev (sáb);10:00;;12 mar (qui);19:00;A.2.16,A.2.18
;PI;LEIC;29 jan (qui);19:00;;11 fev (qua);10:00;;9 mar (seg);19:00;A.2.16,A.2.18
;PIV;LEIM;31 jan (sáb);10:00;;18 fev (qua);10:00;;18 mar (qua);19:00;A.2.16,A.2.18
;POO;LEIC;28 jan (qua);10:00;;12 fev (qui);19:00;;13 mar (sex);10:00;A.2.16,A.2.18
;PR;LEETC;26 jan (seg);10:00;;12 fev (qui);19:00;;18 mar (qua);19:00;A.2.16,A.2.18
;PRC;MEET, MERCM;28 jan (qua);19:00;;10 fev (ter);19:00;;10 mar (ter);19:00;A.2.16,A.2.18
;PSC;LEIC;29 jan (qui);19:00;;12 fev (qui);10:00;;12 mar (qui);19:00;A.2.16,A.2.18
;RCOM;LEETC, MEET;27 jan (ter);14:00;;11 fev (qua);19:00;;19 mar (qui);10:00;A.2.16,A.2.18
;RCp;LEIC, LEETC, LEIM;2 fev (seg);19:00;;13 fev (sex);14:00;;19 mar (qui);19:00;A.2.16,A.2.18
;RDC;MEET, MERCM;3 fev (ter);19:00;;13 fev (sex);19:00;;18 mar (qua);19:00;A.2.16,A.2.18
;RI;LEIC, MEIC, LEETC, LEIM;3 fev (ter);19:00;;16 fev (seg);10:00;;16 mar (seg);19:00;A.2.16,A.2.18
;RSCM;LEIM, MEIC, MEET;6 fev (sex);19:00;;19 fev (qui);14:00;;20 mar (sex);10:00;A.2.16,A.2.18
;SA;LEIM;29 jan (qui);10:00;;12 fev (qui);19:00;;12 mar (qui);10:00;A.2.12,A.2.13
;SAU;MEET, MERCM;7 fev (sáb);10:00;;20 fev (sex);19:00;;14 mar (sáb);10:00;G.1.15
;SBD;LEIM;29 jan (qui);19:00;;12 fev (qui);10:00;;12 mar (qui);19:00;A.2.16,A.2.18
;SCO;MEET;27 jan (ter);19:00;;11 fev (qua);19:00;;19 mar (qui);19:00;A.2.16,A.2.18
;SD;LEIC, MEIC;21 jan (qua);19:00;;16 fev (seg);19:00;;21 mar (sáb);10:00;G.1.15
;SE1;LEIC, MEIC, LEETC;2 fev (seg);10:00;;18 fev (qua);19:00;;18 mar (qua);19:00;A.2.16,A.2.18
;SEAD;LEETC;29 jan (qui);10:00;;16 fev (seg);19:00;;13 mar (sex);10:00;A.2.16,A.2.18
;SEAS;MEET;26 jan (seg);19:00;;21 fev (sáb);10:00;;12 mar (qui);19:00;A.2.16,A.2.18
;SET;MEET;29 jan (qui);19:00;;9 fev (seg);19:00;;17 mar (ter);19:00;A.2.16,A.2.18
;SG;LEIC, MEIC, LEIM;5 fev (qui);19:00;;21 fev (sáb);10:00;;13 mar (sex);10:00;A.2.16,A.2.18
;SI;LEIC, MEIC;22 jan (qui);10:00;;13 fev (sex);19:00;;10 mar (ter);10:00;A.2.12,A.2.13
;SI1;LEIC;21 jan (qua);19:00;;18 fev (qua);14:00;;20 mar (sex);19:00;A.2.16,A.2.18
;SI2;LEIC;27 jan (ter);10:00;;12 fev (qui);19:00;;12 mar (qui);10:00;A.2.12,A.2.13
;SIGM;MERCM;30 jan (sex);19:00;;12 fev (qui);19:00;;12 mar (qui);19:00;A.2.16,A.2.18
;SOi;LEIC;24 jan (sáb);10:00;;10 fev (ter);19:00;;10 mar (ter);19:00;A.2.16,A.2.18
;SOt;LEETC;22 jan (qui);19:00;;10 fev (ter);10:00;;9 mar (seg);19:00;A.2.16,A.2.18
;SS;LEETC;30 jan (sex);19:00;;9 fev (seg);10:00;;9 mar (seg);19:00;A.2.16,A.2.18
;ST;LEETC, MEET;30 jan (sex);19:00;;12 fev (qui);14:00;;20 mar (sex);19:00;A.2.16,A.2.18
;STBL;MEET;21 jan (qua);19:00;;14 fev (sáb);10:00;;16 mar (seg);19:00;A.2.16,A.2.18
;TEL1;LEETC;29 jan (qui);19:00;;11 fev (qua);10:00;;10 mar (ter);10:00;A.2.12,A.2.13
;TEL2;LEETC;6 fev (sex);10:00;;20 fev (sex);19:00;;11 mar (qua);10:00;A.2.12,A.2.13
;TI;LEIM;27 jan (ter);19:00;;9 fev (seg);10:00;;10 mar (ter);19:00;A.2.16,A.2.18
;;;;;;;;;;;
